title,id,stage,creation,creator,activity,actor,nosy,type,components,versions,dependencies,assignee,keywords,priority,status,resolution,nosy_count,message_count
ftplib Persistent data connection,2628,2,2008-04-13.23:50:10,6840,2010-08-07.16:33:11,155,"['252', '3080', '6840']",6,['9'],['16'],[],None,['2'],4,1,None,3.0,7.0
Improved doctest REPORT_*DIFFs with ELLIPSIS and/or NORMALIZE_WHITESPACE,9640,None,2010-08-19.11:04:09,10930,2010-08-19.11:06:03,10930,['10930'],6,['9'],['14'],[],None,['2'],4,1,None,1.0,2.0
Explain the default timeout in http-client-related libraries,8595,None,2010-05-02.02:54:42,12311,2010-08-19.13:16:45,2799,"['1741', '2040', '2799', '12260', '12311', '12861']",5,"['4', '9']","['1', '13', '14']",[],12260,[],4,1,None,6.0,7.0
Encodings and aliases do not match runtime,1249749,None,2005-08-01.18:23:30,2094,2010-08-21.18:46:24,12545,"['4', '8', '93', '2094', '12260']",6,['4'],['16'],[],12260,[],5,1,None,5.0,11.0
distutils extension library path bug on cygwin,1289136,3,2005-09-12.22:04:55,2347,2010-08-21.19:27:33,12545,"['35', '71', '2347', '4555']",5,['3'],"['13', '14', '16']",[],4555,[],4,1,None,4.0,6.0
sndhdr.what() does not recognize wav file,1611944,2,2006-12-09.02:37:48,2945,2010-08-25.14:36:32,12545,"['93', '2945', '9255']",5,['9'],"['13', '14', '16']",[],None,['2'],4,1,None,3.0,7.0
allow multiple threads to efficiently send the same requests to a processing.Pool without incurring duplicate processing,3735,3,2008-08-29.23:07:08,9165,2010-08-31.10:51:47,10726,"['5849', '9165', '10726']",6,['9'],['16'],[],5849,['8'],5,1,7,3.0,5.0
Recursive variable definition causes sysconfig infinite loop,919238,4,2004-03-19.03:15:15,1693,2010-09-07.13:31:53,7641,"['93', '1693', '3935', '4555', '7641']",5,['3'],"['13', '14', '16']",[],4555,[],4,1,None,5.0,5.0
include higher (../../) dirs fails,9261,None,2010-07-14.16:20:36,9234,2010-09-08.03:01:31,7641,"['4555', '7641', '9234']",5,['3'],['1'],[],7641,[],4,1,None,3.0,5.0
zsh-style subpattern matching for fnmatch/glob,4573,None,2008-12-07.08:17:56,4505,2010-09-27.20:40:12,5658,"['93', '114', '2478', '3080', '3951', '4505', '5658']",6,['9'],"['12', '14']",[],None,['2'],4,1,None,7.0,6.0
ftplib doesn't check close status after sending file,10202,2,2010-10-26.19:04:47,1467,2010-10-28.14:14:32,8,"['8', '982', '1467', '2040', '3080']",5,['9'],"['13', '14', '16']",[],None,[],4,1,None,5.0,7.0
TextIOWrapper Buffering Inconsistent Between _io and _pyio,7955,None,2010-02-18.06:41:15,2048,2010-10-29.10:07:21,1,"['93', '1076', '2040', '2048']",5,"['4', '23']","['1', '13', '14', '16']",[],12260,[],4,1,None,4.0,5.0
http.server - what is executable on Windows,10483,None,2010-11-21.07:26:29,9485,2010-11-23.09:51:52,9485,"['8', '1741', '9485']",5,['9'],['16'],[],None,[],4,1,None,3.0,7.0
sysconfig: _get_default_scheme can be made public?,8772,None,2010-05-20.00:37:09,10434,2010-11-26.02:08:01,7641,"['4555', '7641', '10434']",6,['9'],['16'],[],4555,[],4,1,None,3.0,8.0
swig support in distutils should use the build and temp dirs,2624,None,2008-04-12.12:53:23,6763,2010-12-03.21:03:53,13254,"['8', '643', '4555', '6763', '9289', '13254']",5,['3'],"['13', '14', '16']",[],4555,['2'],4,1,None,6.0,7.0
posix_access swallows all errors,10758,3,2010-12-22.12:45:08,93,2010-12-22.20:16:54,8,"['8', '93', '2040', '13468']",6,['9'],['17'],[],None,[],4,1,None,4.0,3.0
process SysV-Semaphore support,5725,None,2009-04-09.05:20:51,10360,2010-12-29.17:45:30,5849,"['2040', '2567', '5849', '9663', '10360']",6,['9'],"['13', '14']",[],None,[],5,1,None,5.0,13.0
bdist_wininst ignores build_lib from build command,1109963,4,2005-01-26.15:52:56,1334,2011-01-11.00:05:41,7641,"['10', '1055', '1334', '4555', '7641', '9506']",5,['3'],"['13', '14', '16']",[],4555,['2'],4,1,None,6.0,5.0
trace module compares directories as strings (--ignore-dir),10896,4,2011-01-12.14:44:16,13595,2011-01-19.15:40:45,10753,"['1427', '10753', '13595']",5,['9'],"['13', '14', '16']",[],None,['2'],4,1,None,3.0,7.0
abitype: Need better support to port C extension modules to the stable C API,10943,None,2011-01-19.08:38:46,13625,2011-01-21.23:42:08,8,"['8', '13625']",6,['5'],['16'],[],None,[],4,1,None,2.0,2.0
cgitb.py should assume a binary stream for output,10479,None,2010-11-21.05:37:14,9485,2011-01-31.04:43:32,9485,"['12', '204', '1741', '9485']",5,['14'],"['13', '16']",[],None,[],4,1,None,4.0,2.0
send/recv SEGMENT_SIZE should be used more in socketmodule,1103350,None,2005-01-16.15:01:11,931,2011-02-02.18:11:46,9663,"['931', '3250', '3951', '9663', '10080']",6,['5'],['17'],[],None,[],4,1,None,5.0,7.0
setting f_exc_traceback aborts in debug builds,4724,3,2008-12-22.17:20:18,4455,2011-02-02.19:46:01,1427,"['1427', '4455', '9716']",1,['8'],['14'],[],None,[],4,1,None,3.0,6.0
decimal.py: to_integral() corner cases,11128,None,2011-02-05.13:06:48,11089,2011-02-07.11:02:16,11089,"['1118', '11089']",5,['9'],['17'],[],None,[],4,1,None,2.0,2.0
Arguments to various types not specified in types module,11151,None,2011-02-08.13:09:55,9494,2011-02-08.22:52:33,7641,"['7641', '9494', '9716', '12260']",5,['4'],"['13', '14', '16', '17']",[],12260,[],4,1,None,4.0,3.0
TextIOWrapper.readline and str.splitlines have different behavior,11305,3,2011-02-24.02:19:52,4455,2011-02-24.02:45:03,9663,"['2040', '4455', '9663', '12260']",5,"['4', '8', '23']","['14', '16', '17']",[],12260,[],4,1,None,4.0,5.0
2to3 throws AttributeError during distutils installation with -O,11255,2,2011-02-20.10:28:06,2153,2011-02-25.22:58:38,7641,"['2153', '4455', '7641']",5,['20'],"['13', '14', '16', '17']",[],None,[],4,1,None,3.0,2.0
Linking to gcc's gomp causes crash later.,11275,2,2011-02-21.17:54:35,13814,2011-02-28.00:22:19,13814,"['155', '13814']",1,['5'],['1'],[],None,[],4,1,None,2.0,3.0
ftplib passive ftp problem on multihomed clients,1661754,4,2007-02-16.19:36:59,3770,2011-03-03.22:24:05,3080,"['982', '2040', '3080', '3770']",5,['9'],"['13', '14', '16', '17']",[],3080,['2'],4,1,None,4.0,4.0
os.mkdir() and os.mkdirat() don't apply SUID/SGID permissions,11355,None,2011-02-28.19:40:37,9138,2011-03-05.18:32:39,3080,"['155', '3080', '9138', '9663']",None,[],"['13', '14', '16', '17']",[],None,['2'],4,1,None,4.0,4.0
Add import fix for email.Message,11414,None,2011-03-06.16:29:22,11710,2011-03-07.17:03:21,19,"['19', '4455', '9663', '11710']",None,['20'],[],[],None,[],4,1,None,4.0,4.0
extended slicing not sufficiently covered in docs,7460,None,2009-12-08.17:20:56,5494,2011-03-09.03:15:03,155,"['93', '155', '5494']",6,['4'],"['13', '16', '17']",[],12260,[],4,1,None,3.0,3.0
Added clearerr() to clear EOF state,1706039,4,2007-04-23.17:21:41,3133,2011-03-11.15:56:21,1427,"['8', '1427', '1616', '2040', '3133', '4455', '4698']",5,"['8', '23']",['14'],[],None,"['2', '8']",4,1,None,7.0,39.0
Use directories from configure rather than hardcoded,858809,3,2003-12-12.10:24:30,1237,2011-03-16.13:55:16,9512,"['8', '1237', '1608', '3981', '4555', '6668', '7641', '9108', '9138', '9299', '9512', '10550']",5,"['1', '3']",['16'],[],4555,['2'],4,1,None,12.0,19.0
"Wrong linker command if CXX set to ""ccache g++""",6863,None,2009-09-08.13:05:37,11166,2011-03-16.23:50:15,3935,"['3935', '4555', '9289', '11166']",5,['3'],['1'],[],4555,['2'],4,1,None,4.0,4.0
Improve Unicode Documentation with Known Caveats,11573,3,2011-03-16.17:15:40,5513,2011-03-17.23:37:21,7641,"['2377', '5513', '12260']",None,"['4', '14']","['13', '16', '17']",[],12260,[],4,1,None,3.0,2.0
print followed by exception eats print with doctest,3722,3,2008-08-29.10:54:12,4165,2011-03-20.23:22:01,155,"['6', '93', '155', '4165', '9685', '12260']",6,['4'],['17'],[],12260,['2'],5,1,None,6.0,11.0
distutils produces invalid RPM packages of prerelease python packages,5474,None,2009-03-11.04:15:16,10219,2011-03-21.00:44:48,7641,"['4555', '7641', '10219']",None,['3'],"['13', '14', '16', '17']",[],4555,['2'],4,1,None,3.0,11.0
"Remove unneeded ""context"" pointer from getters and setters",5880,None,2009-04-29.16:15:23,2731,2011-03-26.12:20:20,1118,"['8', '1118', '2040', '2731']",6,['8'],['17'],[],None,['2'],4,1,None,4.0,7.0
unittest discover should recurse into packages which are already in sys.path,11683,None,2011-03-26.14:36:41,12575,2011-03-26.22:58:09,9716,"['7047', '9716', '12575']",6,[],['17'],[],None,[],4,1,None,3.0,5.0
mingw64 does not link when building extensions,11722,None,2011-03-30.16:21:44,14032,2011-03-31.22:13:24,3935,"['1076', '3935', '14032']",2,['5'],['14'],[],None,[],4,1,None,3.0,4.0
"""pydoc -w"" causes ""no Python documentation found"" error when the path is not current directory",11831,None,2011-04-12.00:42:44,14107,2011-04-15.17:00:16,7641,"['3792', '7641', '14107']",5,['9'],"['14', '16']",[],None,['2'],4,1,None,3.0,2.0
TarFile.gettarinfo modifies self.inodes,11899,None,2011-04-21.15:16:37,14158,2011-04-23.13:23:27,14173,"['1578', '14158', '14173']",5,['9'],['17'],[],1578,[],5,1,None,3.0,4.0
frame.f_locals keeps references to things for too long,6116,None,2009-05-26.15:27:04,982,2011-05-07.00:03:23,4455,"['5', '114', '204', '982', '2040', '2377', '4455']",5,['8'],[],[],None,[],4,1,None,7.0,10.0
configure shouldn't set a default OPT,10663,None,2010-12-09.19:25:28,2040,2011-05-07.15:18:28,7641,"['19', '2040', '7641', '9138', '9157', '11193']",5,['1'],"['13', '14', '16']",[],None,[],4,1,None,6.0,2.0
strftime strips '%' from unknown format codes on OS X,9811,None,2010-09-09.09:59:03,12964,2011-05-18.08:22:16,12244,"['4', '925', '1427', '7641', '9663', '12244', '12260', '12964']",5,['4'],"['13', '14', '16']",[],12260,[],4,1,None,8.0,13.0
AttributeError should report the same details when raised by lookup_special() as when raised in the REPL,12022,None,2011-05-06.20:07:21,11735,2011-05-23.14:09:44,7641,"['4455', '7641', '11409', '11735']",5,['8'],['14'],[],None,[],4,1,None,4.0,5.0
There is no way of determining which ABCs a class is registered against,5405,3,2009-03-02.10:37:00,301,2011-05-24.05:12:32,1309,"['301', '1309', '5513', '7641']",5,['8'],"['13', '14']",[],None,[],4,1,None,4.0,6.0
doctest not working on nested functions,12055,4,2011-05-11.11:56:40,12293,2011-05-24.16:00:11,7641,"['93', '1309', '7641', '11184', '12293', '14268']",6,['9'],['17'],[],None,"['2', '8']",4,1,None,6.0,8.0
merge PC/getpathp.c into Modules/getpath.c,9654,None,2010-08-20.21:41:07,1076,2011-05-26.16:21:27,2377,"['1076', '2377', '3951', '7641', '10080', '12351']",6,['1'],['17'],[],None,[],4,1,None,6.0,4.0
Error message for incorrect number of (function) args is incorrect,9326,2,2010-07-21.20:44:05,11853,2011-05-30.15:20:56,4455,"['43', '4455', '9663', '11853']",5,[],['14'],[],None,[],4,1,None,4.0,5.0
get_msvcr() returns None rather than [],5043,None,2009-01-24.17:50:48,298,2011-06-01.20:48:41,3935,"['298', '3935', '7641', '9108']",None,"['3', '25']","['11', '13', '14', '16', '17']",[],7641,[],4,1,None,4.0,6.0
bdist_wininst install_script not run on uninstall,12200,4,2011-05-28.02:08:46,10,2011-06-03.15:49:51,7641,"['8', '10', '4555', '7641']",5,['3'],"['14', '16', '17']",[],10,['2'],4,1,None,4.0,5.0
embedded python import cmath,12232,2,2011-06-01.00:31:39,14369,2011-06-07.01:23:09,155,"['155', '1076', '1118', '14369']",5,[],['14'],[],None,[],4,1,None,4.0,8.0
build process adds CWD (null entry) to PYTHONPATH if PYTHONPATH is set in the build environment,12282,3,2011-06-08.03:10:57,9663,2011-06-09.13:12:03,7641,"['5248', '7641', '9663']",None,['1'],"['14', '16', '17']",[],None,[],4,1,None,3.0,4.0
installer ignores changed installation directory,1207466,3,2005-05-24.02:21:55,2255,2011-06-12.18:46:28,155,"['8', '2255', '3250']",5,['7'],"['14', '16']",[],8,[],3,1,None,3.0,4.0
2to3 to simultaneously do code and doctests,9273,3,2010-07-16.15:48:43,12634,2011-06-14.15:21:26,7641,"['4455', '7641', '12634']",6,['20'],['17'],[],None,[],4,1,None,3.0,2.0
shlex refactoring,7594,4,2009-12-29.08:07:40,2860,2011-06-14.16:03:49,7641,"['10', '2860', '7047', '7641']",7,['9'],['17'],[],None,"['2', '8']",4,1,None,4.0,3.0
shutil.copytree error handling non-standard and partially broken,7969,None,2010-02-19.22:04:16,10911,2011-06-15.13:40:35,7641,"['155', '4555', '7641', '10874', '10911', '14297']",5,['9'],"['14', '16', '17']",[],7641,['2'],4,1,1,6.0,8.0
Solaris/GCC/shared lib problem,11376,None,2011-03-02.16:19:29,12293,2011-06-20.01:33:37,12293,"['4555', '7641', '12293']",2,['3'],['14'],[],4555,[],4,1,None,3.0,4.0
test_sysconfig failure: build a 32-bit Python a 64-bit OS,9436,None,2010-07-31.15:53:10,2040,2011-06-20.20:26:51,9108,"['2040', '3818', '4555', '7641', '9108']",5,['9'],['16'],[],None,[],4,1,None,5.0,3.0
Add link to PEP 0 for topical index in wiki,12308,None,2011-06-10.06:05:37,14000,2011-06-22.01:36:35,14000,"['7641', '14000']",None,[],['11'],[],None,['2'],4,1,None,2.0,3.0
assertEqual doesn't display newline differences quite well,12038,None,2011-05-09.16:36:50,2040,2011-06-26.15:25:17,14250,"['155', '252', '2040', '7047', '9716', '14250']",5,['9'],['17'],[],9716,['2'],5,1,None,6.0,6.0
gc.collect() won't always collect as expected,4924,2,2009-01-12.13:03:33,2040,2011-06-26.19:01:19,155,"['8', '2040']",5,[],"['14', '16', '17']",[],None,[],4,1,None,2.0,2.0
[patch] assert tp_traverse in PyType_GenericAlloc(),1662,2,2007-12-19.17:22:01,4438,2011-06-26.19:56:47,155,"['2040', '3250', '4438']",5,['8'],"['14', '16', '17']",[],None,['2'],4,1,None,3.0,4.0
ctypes: need example how to pass raw data from Python,12476,None,2011-07-03.08:02:36,2984,2011-07-03.12:24:43,2984,"['1076', '2984', '12260']",None,"['4', '22']","['13', '14', '16', '17', '18']",[],12260,[],4,1,None,3.0,3.0
Doctest sees directives in strings when it should only see them in comments,11909,4,2011-04-22.19:31:22,4470,2011-07-04.03:45:34,4470,"['6', '4455', '4470', '9663', '14287']",6,['9'],['17'],[],None,['2'],4,1,None,5.0,8.0
"""with"" statement error message is more confusing in Py2.7",12503,None,2011-07-06.03:58:02,14545,2011-07-08.13:55:37,7641,"['4455', '7641', '14545']",5,['8'],['14'],[],None,[],5,1,None,3.0,3.0
Distutils SWIG support blocks use of SWIG -outdir option,4672,None,2008-12-15.22:22:31,9512,2011-07-08.14:37:20,7641,"['4555', '7641', '9512', '9977']",5,['3'],"['14', '16']",[],4555,[],4,1,None,4.0,5.0
inconsistency behavior in ctypes.c_char_p dereferencing,8161,3,2010-03-17.09:09:45,11044,2011-07-11.00:21:38,14475,"['66', '11044', '14475']",5,['22'],"['13', '14', '16']",[],66,[],4,1,None,3.0,2.0
freeze tool cannot handle JSON module properly,9329,None,2010-07-22.16:20:55,12695,2011-07-11.10:36:30,14568,"['12695', '14568']",5,['2'],['14'],[],None,[],4,1,None,2.0,3.0
python should inherit the library search path from the compiler for stdlib extensions,12418,None,2011-06-27.12:02:18,14492,2011-07-11.15:53:57,7641,"['19', '169', '7641', '14492']",5,['1'],['17'],[],None,[],4,1,None,4.0,4.0
"Have type(n,b,d) check for type(b[i]) is module",11604,2,2011-03-19.02:13:57,155,2011-07-13.15:18:39,7641,"['114', '155', '7641', '12118']",6,['8'],['17'],[],None,[],4,1,None,4.0,5.0
MSVCRT's spawnve/spawnvpe are not thread safe,6476,None,2009-07-13.17:11:07,10839,2011-07-18.23:31:30,2040,"['1076', '2040', '10839', '13902', '14603']",5,['8'],"['14', '16', '17']",[],None,[],4,1,10,5.0,6.0
urllib.URLopener prematurely deletes files on cleanup,12638,None,2011-07-25.15:34:57,14642,2011-07-25.16:57:50,14642,"['1741', '14642']",5,['17'],"['1', '14', '16']",[],None,[],4,1,None,2.0,5.0
mmap resize fails on anonymous memory,2733,None,2008-05-01.17:04:16,4546,2011-07-27.18:24:10,14591,"['1076', '1427', '2529', '3951', '4546', '5530', '14591']",5,['5'],"['14', '16']",[],None,['2'],4,1,None,7.0,14.0
shlex behaves unexpected if newlines are not whitespace,7089,2,2009-10-09.08:11:52,11304,2011-08-01.00:58:26,14669,"['1595', '2860', '11304', '11633', '14669']",5,['9'],"['1', '13', '14', '16', '17']",[],None,['2'],4,1,None,5.0,5.0
explain that locale.getlocale() does not read system's locales,12726,3,2011-08-11.09:18:55,12434,2011-08-12.18:58:24,155,"['155', '7641', '12260', '12434', '14342']",None,['4'],"['14', '16', '17']",[],12434,[],4,1,None,5.0,2.0
Inconsistent use of VOLUME_NAME_* with GetFinalPathNameByHandle,12777,None,2011-08-18.14:32:26,2040,2011-08-18.15:16:48,2040,"['1290', '2040', '3951', '10080']",5,['9'],"['16', '17']",[],None,[],5,1,None,4.0,4.0
"Docs for: import, packages, site.py, .pth files",11553,None,2011-03-15.11:39:50,13894,2011-08-18.16:51:30,7641,"['37', '688', '1309', '7641', '12260', '12402', '13738', '13894']",5,['4'],"['14', '16', '17']","['8617', '10745']",7641,[],4,1,None,8.0,11.0
Data truncation in expat parser,10149,3,2010-10-20.01:43:19,13171,2011-08-19.12:58:55,12,"['12', '7641', '9663', '12260', '13171']",5,['4'],"['13', '14', '16']",[],12260,['2'],4,1,None,5.0,10.0
String with NUL characters truncated by ctypes when assigning to a char array,12769,None,2011-08-17.13:06:11,14733,2011-08-29.18:17:32,328,"['328', '2377', '14733']",5,['22'],"['14', '17']",[],None,[],4,1,None,3.0,6.0
PyOS_Readline uses single lock,12861,None,2011-08-30.17:15:54,14420,2011-09-02.11:08:00,14420,"['1076', '14420']",None,[],['14'],[],None,[],4,1,None,2.0,5.0
syntactic sugar: type coercion on pointer assignment,5149,3,2009-02-04.01:20:02,9312,2011-09-07.01:01:28,11255,"['1076', '1427', '9312', '11255', '14475']",6,['22'],['16'],[],None,[],4,1,None,5.0,5.0
cross platform failure and silly test in doctest,6703,4,2009-08-14.16:18:16,4165,2011-09-09.20:13:38,688,"['93', '688', '2984', '4165', '4455', '7641']",None,['9'],"['14', '16', '17']",[],4165,['2'],4,1,None,6.0,11.0
Function calls missing from profiler output,12953,3,2011-09-09.22:37:21,8977,2011-09-16.18:02:24,155,"['93', '155', '8977', '9663']",5,['9'],"['16', '17']",[],None,[],4,1,None,4.0,5.0
builds fail when installing to --prefix with space in path name,12956,3,2011-09-10.15:55:14,14550,2011-09-17.18:23:08,14550,"['5248', '7641', '14550']",None,['1'],"['14', '16', '17']",[],None,[],5,1,None,3.0,4.0
shutil: sort files before archiving for consistency,8891,3,2010-06-03.21:13:35,2984,2011-09-19.14:42:10,7641,"['2984', '4555', '7641']",6,['9'],['17'],[],4555,['2'],5,1,None,3.0,15.0
upload command fails to read auth information from .pypirc,11472,None,2011-03-11.22:27:09,1290,2011-09-23.14:50:33,12020,"['1290', '2560', '4555', '7641', '12020', '12757']",None,['3'],['16'],[],4555,[],4,1,None,6.0,5.0
cookielib.LWPCookieJar breaks on cookie values with a newline,12966,None,2011-09-12.19:14:40,14864,2011-09-26.21:13:06,14864,"['155', '1741', '14864']",5,['9'],[],[],1741,[],4,1,None,3.0,7.0
ctypes: clearly document how structure bit fields are allocated,12880,3,2011-09-02.02:34:11,11255,2011-10-04.23:51:15,155,"['155', '11255', '12260', '14475']",6,"['4', '22']",['17'],[],12260,['2'],4,1,None,4.0,10.0
socket.getsockopt may require custom buffer contents,13045,None,2011-09-25.17:12:20,14925,2011-10-05.16:45:31,12146,"['2040', '12146', '13902', '14925']",6,['5'],['16'],[],None,['2'],4,1,None,4.0,4.0
"Bug in file.read(), can access unknown data.",13171,None,2011-10-13.18:40:10,15027,2011-10-15.00:43:19,155,"['155', '2377', '9663', '12260', '15027']",5,['4'],['14'],[],12260,[],4,1,None,5.0,8.0
multiprocessing.map skips finally blocks,13139,None,2011-10-09.02:05:46,14981,2011-10-15.18:52:05,5849,"['155', '2040', '5849', '11184', '12260', '14981']",5,"['4', '9']","['14', '16', '17']",[],12260,[],4,1,None,6.0,6.0
FD leak in urllib2,13131,4,2011-10-08.12:25:52,13263,2011-10-17.11:40:28,7641,"['155', '1741', '7047', '7641', '13263']",3,"['9', '23']",['14'],[],None,['2'],4,1,None,5.0,6.0
Frozen programs require the original build directory in order to run.,13011,3,2011-09-20.01:44:50,10016,2011-10-17.15:53:35,7641,"['7641', '10016']",5,['2'],['14'],[],None,[],4,1,None,2.0,2.0
str.title() is overzealous by upcasing combining marks	inappropriately,12737,3,2011-08-11.22:37:33,14713,2011-10-18.13:23:43,11184,"['5', '8', '155', '2377', '7047', '9138', '11184', '14713']",5,[],"['16', '17']",[],None,[],4,1,None,8.0,15.0
sysconfig gives misleading results for USE_COMPUTED_GOTOS,13240,None,2011-10-21.14:41:25,11184,2011-10-26.03:15:01,11255,"['2040', '2377', '7641', '11184', '11255']",5,['9'],"['16', '17']",[],None,['2'],4,1,None,5.0,12.0
execfile fixer produces code that does not close the file,13332,None,2011-11-03.12:11:31,14430,2011-11-04.00:11:06,11883,"['2040', '4455', '10969', '11883', '14287', '14430']",5,['20'],"['16', '17']",[],None,[],4,1,None,6.0,6.0
IGNORE_CASE doctest option flag,13337,None,2011-11-03.19:03:19,15101,2011-11-04.22:50:36,155,"['1076', '15101']",6,['9'],['17'],[],None,[],4,1,None,2.0,3.0
Improve dbm modules,9523,4,2010-08-05.15:23:53,12118,2011-11-09.22:35:50,415,"['93', '114', '155', '415', '1309', '5251', '7641', '9663', '11995', '12118']",6,['5'],['17'],[],None,['2'],4,1,None,10.0,24.0
make_buildinfo regression with unquoted path,10501,None,2010-11-22.10:01:41,11778,2011-11-12.05:08:44,9740,"['8', '2217', '11778']",None,['1'],['16'],[],2217,['2'],4,1,1,3.0,6.0
Make robotparser.RobotFileParser ignore blank lines,13281,2,2011-10-27.20:30:43,13008,2011-11-13.02:41:12,155,"['155', '1741', '7047', '7641', '13008', '14287']",6,['9'],['17'],[],None,"['2', '8']",4,1,None,6.0,12.0
The encoding map from Unicode to CP932 is different from that of Windows',7983,None,2010-02-22.13:12:01,11897,2011-11-16.08:54:47,15147,"['4', '1298', '2377', '11897', '15147']",5,['14'],"['14', '16']",[],1298,[],4,1,None,5.0,4.0
execution model - clear and complete example in documentation,4246,3,2008-11-01.14:59:30,9280,2011-11-16.11:45:26,7047,"['155', '1186', '7047', '9280', '12260']",6,['4'],"['14', '16', '17']",[],12260,[],4,1,None,5.0,4.0
Confusing error message when passing bytes to print with file pointing to a binary file,6304,2,2009-06-18.02:51:44,9663,2011-11-16.11:47:17,7047,"['93', '1076', '2040', '9663']",5,['23'],"['16', '17']",[],None,[],5,1,None,4.0,3.0
build_py_2to3 does not convert when there was an error in the last run,13316,2,2011-11-01.21:22:19,14805,2011-11-21.14:41:24,7641,"['4555', '7641', '9138', '12434', '14805']",5,"['3', '25']","['11', '16', '17']",[],7641,[],4,1,None,5.0,4.0
multiprocessing Pool should allow custom task queue,6407,3,2009-07-03.13:23:17,10778,2011-11-24.12:58:12,10726,"['2040', '5849', '10726', '10778', '14287', '15180']",6,['9'],['17'],[],5849,['2'],4,1,None,6.0,11.0
String format documentation contains error regarding %g,13433,None,2011-11-19.13:01:31,15169,2011-11-26.09:17:00,15169,"['155', '1118', '2799', '7641', '12260', '15169']",5,['4'],"['14', '16', '17']",[],12260,[],4,1,None,6.0,8.0
"shlex not posix compliant when parsing ""foo#bar""",7611,4,2009-12-31.08:42:42,11304,2011-11-27.18:27:51,11255,"['155', '2860', '7641', '11255', '11304', '11648']",6,['9'],['16'],[],None,['2'],4,1,None,6.0,7.0
Base.replace breaks tree,6899,4,2009-09-13.08:50:39,8,2011-11-29.13:17:09,7641,"['8', '4455', '11255']",5,['20'],"['14', '16', '17']",[],None,['2'],4,1,None,3.0,3.0
"pkgutil.extend_path do not recognize py{c,o} file",11374,3,2011-03-02.14:31:05,13870,2011-11-29.15:09:15,19,"['19', '688', '1309', '7641', '13870', '14000']",5,['9'],"['14', '16', '17']",[],None,['2'],4,1,None,6.0,6.0
Add C hook in PyDict_SetItem for debuggers,5654,3,2009-04-01.16:55:03,126,2011-11-29.21:40:35,8,"['5', '8', '114', '126', '473', '2040', '2377']",6,['8'],['17'],[],None,['2'],4,1,None,7.0,10.0
The documentation for the print function should explain/point to how to control the sys.stdout encoding,12832,None,2011-08-24.13:18:13,9663,2011-11-30.15:25:08,7641,"['7641', '9663', '12260', '14786']",None,['4'],"['14', '16', '17']",[],7641,['2'],4,1,None,4.0,7.0
httplib.HTTPConnection._send_request should not blindly assume dicts for headers,3276,None,2008-07-04.00:19:28,3083,2011-12-04.23:00:33,15108,"['155', '3083', '15108']",6,['9'],['2'],[],None,['2'],4,1,6,3.0,2.0
ctypes: segfault with large number of callback arguments,13097,3,2011-10-04.03:57:17,11255,2011-12-15.05:05:02,11255,"['1076', '1427', '2377', '11255']",1,['22'],"['14', '16', '17']",[],11255,[],5,1,None,4.0,6.0
"Document int.conjugate, .denominator, ...",11977,6,2011-05-01.20:25:26,10826,2011-12-24.19:20:36,7047,"['93', '7047', '7641', '10826', '12260', '13902']",None,['4'],['14'],[],12260,[],4,1,3,6.0,8.0
locale.strxfrm does not work with Unicode strings,2481,None,2008-03-25.14:33:55,1264,2012-01-02.02:25:58,12099,"['8', '1264', '4455', '12099']",5,['14'],['14'],[],8,['2'],4,1,None,4.0,7.0
os.listdir documentation should mention surrogateescape,13561,3,2011-12-09.01:49:59,9716,2012-01-02.17:16:48,7641,"['8', '2377', '7641', '9716', '12260', '15276']",None,['4'],['17'],[],12260,['2'],4,1,None,6.0,4.0
Notes about module load path,13562,None,2011-12-09.02:22:04,14826,2012-01-06.18:55:10,14826,"['7641', '12260', '14000', '14826']",6,['4'],"['14', '16', '17']",[],12260,['2'],4,1,None,4.0,5.0
timeit execution enviroment,1397474,4,2006-01-05.03:50:10,2497,2012-01-14.00:54:52,155,"['12', '114', '155', '2497', '4691', '9740', '12260', '13397']",5,['4'],"['14', '16', '17']",[],12260,['2'],4,1,None,8.0,6.0
Out of date links in the sidebar of the documentation index of versions 3.1 and 3.2,13122,None,2011-10-07.15:02:19,14430,2012-01-16.09:17:54,155,"['93', '155', '2040', '7047', '11727', '12260', '14430']",None,['4'],"['13', '16']",[],12260,[],4,1,None,7.0,12.0
Improve description of cmd module,13875,3,2012-01-26.14:27:57,2984,2012-02-03.13:55:13,7641,"['2984', '7641', '9663', '12260']",None,['4'],[],[],12260,[],5,1,None,4.0,5.0
multiple lib and include directories on Linux,13962,None,2012-02-07.16:16:26,15204,2012-02-07.21:45:05,9108,"['4555', '7641', '9108', '15204']",5,"['1', '3', '7']",['14'],[],4555,[],4,1,None,4.0,2.0
distutils handling of windows manifest isn't optimal,13892,None,2012-01-27.21:09:25,79,2012-02-16.15:45:41,79,"['10', '79', '4555', '7641']",5,['3'],['14'],[],4555,[],4,1,None,4.0,4.0
AttributeError: MSVCCompiler instance has no attribute '_MSVCCompiler__root',7509,None,2009-12-15.06:24:00,10434,2012-02-19.09:04:41,7641,"['1076', '4555', '7641', '10434', '12197']",5,['3'],"['14', '16', '17']",[],4555,[],4,1,1,5.0,5.0
